gen,pop_size,cwmin,cwmax,slotlength,txPower,TotalLostPackets_media,delayMedio_media,throughputMedioBPS_media
16, 10, 0, 0, 0, 0, 279.6257142857143, 0.009802014643548573, 1771659318.7036579
17, 10, 0, 0, 0, 0, 351.7, 0.010770097841005716, 1463272878.349715
18, 10, 0, 0, 0, 0, 347.53714285714284, 0.0102031086316, 1518030276.2939558
19, 10, 0, 0, 0, 0, 337.2885714285714, 0.010591863012380002, 1432662790.2517464
20, 10, 0, 0, 0, 0, 183.20000000000002, 0.009137530325751429, 1995208392.4012153
21, 10, 0, 0, 0, 0, 175.67714285714285, 0.00937112617728, 1760074432.2866616
22, 10, 0, 0, 0, 0, 122.92857142857142, 0.008302230860462858, 2071039989.275502
23, 10, 0, 0, 0, 0, 105.46571428571428, 0.007994547765417142, 2534749150.496293
24, 10, 0, 0, 0, 0, 112.53428571428576, 0.007789915552171428, 2773045251.757055
25, 10, 0, 0, 0, 0, 61.80285714285715, 0.0063967960845000005, 3138165861.7387986
26, 10, 0, 0, 0, 0, 32.154285714285706, 0.005587936809908571, 3420384397.8530416
27, 10, 0, 0, 0, 0, 46.29999999999999, 0.006129316622882857, 3341955384.8569937
28, 10, 0, 0, 0, 0, 55.614285714285714, 0.006286177345634286, 3171868673.677025
29, 10, 0, 0, 0, 0, 61.90571428571428, 0.0052049782612914285, 3494317204.444616
30, 10, 0, 0, 0, 0, 21.94571428571429, 0.005133408128928572, 3412666579.5880175
31, 10, 0, 0, 0, 0, 31.348571428571425, 0.0058742353415342854, 3505998538.521328
32, 10, 0, 0, 0, 0, 78.60285714285715, 0.005556672050248571, 3350969716.956338
33, 10, 0, 0, 0, 0, 107.86285714285714, 0.005231943127891429, 2926261211.680584
34, 10, 0, 0, 0, 0, 132.84857142857146, 0.005297204577945714, 2573153809.5361595
35, 10, 0, 0, 0, 0, 145.66857142857145, 0.006559877862134286, 2461992402.8170404
36, 10, 0, 0, 0, 0, 123.14857142857144, 0.006393333689748572, 2443931718.46208
37, 10, 0, 0, 0, 0, 165.71999999999997, 0.007850454725417145, 1886820630.0704923
38, 10, 0, 0, 0, 0, 213.69142857142862, 0.008646276365397143, 1635445208.212542
39, 10, 0, 0, 0, 0, 163.5028571428571, 0.008499498128157142, 1593753582.674252
40, 10, 0, 0, 0, 0, 161.0885714285714, 0.009152701787025711, 1323636275.492491
41, 10, 0, 0, 0, 0, 244.8942857142857, 0.009951116482725715, 1241099913.5836053
42, 10, 0, 0, 0, 0, 199.8942857142857, 0.007900171519442858, 1894675943.509234
43, 10, 0, 0, 0, 0, 257.1571428571429, 0.009204805550085715, 1778282505.4953613
44, 10, 0, 0, 0, 0, 307.96285714285716, 0.010231890632782858, 1663710483.6227958
45, 10, 0, 0, 0, 0, 183.78571428571428, 0.009158816138554283, 1994534972.0533047
46, 10, 0, 0, 0, 0, 188.31714285714287, 0.009395343870825714, 1490766604.7023485
47, 10, 0, 0, 0, 0, 171.62285714285713, 0.010069133857451427, 1429616896.0046306
48, 10, 0, 0, 0, 0, 81.26857142857145, 0.008228254771122857, 2256697205.741353
49, 10, 0, 0, 0, 0, 102.34, 0.008463860060288573, 2029907397.8212113
